BLAS `axpy` (level-1) Function
- data type: float
- vector size: 10000000 (38.15 MB)
- #SMs: 56
- #threads per block: 512
- #blocks: 86016
- Elasped time (axpy_h): 33.141186 (ms)
blockIdx.x: 65502, base: 8384256, len: 128
blockIdx.x: 65503, base: 8384384, len: 128
blockIdx.x: 65504, base: 8384512, len: 128
blockIdx.x: 65505, base: 8384640, len: 128
blockIdx.x: 65506, base: 8384768, len: 128
blockIdx.x: 65507, base: 8384896, len: 128
blockIdx.x: 65508, base: 8385024, len: 128
blockIdx.x: 65509, base: 8385152, len: 128
blockIdx.x: 65510, base: 8385280, len: 128
blockIdx.x: 65511, base: 8385408, len: 128
blockIdx.x: 65512, base: 8385536, len: 128
blockIdx.x: 65513, base: 8385664, len: 128
blockIdx.x: 65514, base: 8385792, len: 128
blockIdx.x: 65515, base: 8385920, len: 128
blockIdx.x: 65516, base: 8386048, len: 128
blockIdx.x: 65518, base: 8386304, len: 128
blockIdx.x: 65522, base: 8386816, len: 128
blockIdx.x: 65521, base: 8386688, len: 128
blockIdx.x: 65517, base: 8386176, len: 128
blockIdx.x: 65519, base: 8386432, len: 128
blockIdx.x: 65520, base: 8386560, len: 128
blockIdx.x: 65523, base: 8386944, len: 128
blockIdx.x: 65524, base: 8387072, len: 128
blockIdx.x: 65525, base: 8387200, len: 128
blockIdx.x: 65527, base: 8387456, len: 128
blockIdx.x: 65531, base: 8387968, len: 128
blockIdx.x: 65529, base: 8387712, len: 128
blockIdx.x: 65526, base: 8387328, len: 128
blockIdx.x: 65528, base: 8387584, len: 128
blockIdx.x: 65530, base: 8387840, len: 128
blockIdx.x: 65534, base: 8388352, len: 128
blockIdx.x: 65532, base: 8388096, len: 128
blockIdx.x: 65535, base: 8388480, len: 128
blockIdx.x: 65533, base: 8388224, len: 128
blockIdx.x: 65536, base: 8388608, len: 128
blockIdx.x: 65537, base: 8388736, len: 128
blockIdx.x: 65538, base: 8388864, len: 128
blockIdx.x: 65540, base: 8389120, len: 128
blockIdx.x: 65544, base: 8389632, len: 128
blockIdx.x: 65542, base: 8389376, len: 128
blockIdx.x: 65543, base: 8389504, len: 128
blockIdx.x: 65539, base: 8388992, len: 128
blockIdx.x: 65541, base: 8389248, len: 128
blockIdx.x: 65545, base: 8389760, len: 128
blockIdx.x: 65547, base: 8390016, len: 128
blockIdx.x: 65548, base: 8390144, len: 128
blockIdx.x: 65546, base: 8389888, len: 128
blockIdx.x: 65549, base: 8390272, len: 128
blockIdx.x: 65550, base: 8390400, len: 128
blockIdx.x: 65551, base: 8390528, len: 128
blockIdx.x: 65552, base: 8390656, len: 128
blockIdx.x: 65553, base: 8390784, len: 128
blockIdx.x: 65554, base: 8390912, len: 128
blockIdx.x: 65555, base: 8391040, len: 128
blockIdx.x: 65556, base: 8391168, len: 128
blockIdx.x: 65562, base: 8391936, len: 128
blockIdx.x: 65557, base: 8391296, len: 128
blockIdx.x: 65561, base: 8391808, len: 128
blockIdx.x: 65563, base: 8392064, len: 128
blockIdx.x: 65560, base: 8391680, len: 128
blockIdx.x: 65558, base: 8391424, len: 128
blockIdx.x: 65559, base: 8391552, len: 128
blockIdx.x: 65564, base: 8392192, len: 128
blockIdx.x: 65565, base: 8392320, len: 128
blockIdx.x: 65566, base: 8392448, len: 128
blockIdx.x: 65567, base: 8392576, len: 128
blockIdx.x: 65568, base: 8392704, len: 128
blockIdx.x: 65569, base: 8392832, len: 128
blockIdx.x: 65570, base: 8392960, len: 128
blockIdx.x: 65571, base: 8393088, len: 128
blockIdx.x: 65572, base: 8393216, len: 128
blockIdx.x: 65573, base: 8393344, len: 128
blockIdx.x: 65574, base: 8393472, len: 128
blockIdx.x: 65575, base: 8393600, len: 128
blockIdx.x: 65576, base: 8393728, len: 128
blockIdx.x: 65578, base: 8393984, len: 128
blockIdx.x: 65577, base: 8393856, len: 128
blockIdx.x: 65580, base: 8394240, len: 128
blockIdx.x: 65579, base: 8394112, len: 128
blockIdx.x: 65581, base: 8394368, len: 128
blockIdx.x: 65582, base: 8394496, len: 128
blockIdx.x: 65583, base: 8394624, len: 128
blockIdx.x: 65584, base: 8394752, len: 128
blockIdx.x: 65585, base: 8394880, len: 128
blockIdx.x: 65589, base: 8395392, len: 128
blockIdx.x: 65586, base: 8395008, len: 128
blockIdx.x: 65592, base: 8395776, len: 128
blockIdx.x: 65591, base: 8395648, len: 128
blockIdx.x: 65587, base: 8395136, len: 128
blockIdx.x: 65596, base: 8396288, len: 128
blockIdx.x: 65597, base: 8396416, len: 128
blockIdx.x: 65590, base: 8395520, len: 128
blockIdx.x: 65602, base: 8397056, len: 128
blockIdx.x: 65600, base: 8396800, len: 128
blockIdx.x: 65593, base: 8395904, len: 128
blockIdx.x: 65598, base: 8396544, len: 128
blockIdx.x: 65601, base: 8396928, len: 128
blockIdx.x: 65605, base: 8397440, len: 128
blockIdx.x: 65603, base: 8397184, len: 128
blockIdx.x: 65595, base: 8396160, len: 128
blockIdx.x: 65588, base: 8395264, len: 128
blockIdx.x: 65594, base: 8396032, len: 128
blockIdx.x: 65604, base: 8397312, len: 128
blockIdx.x: 65611, base: 8398208, len: 128
blockIdx.x: 65609, base: 8397952, len: 128
blockIdx.x: 65599, base: 8396672, len: 128
blockIdx.x: 65615, base: 8398720, len: 128
blockIdx.x: 65608, base: 8397824, len: 128
blockIdx.x: 65610, base: 8398080, len: 128
blockIdx.x: 65612, base: 8398336, len: 128
blockIdx.x: 65618, base: 8399104, len: 128
blockIdx.x: 65613, base: 8398464, len: 128
blockIdx.x: 65619, base: 8399232, len: 128
blockIdx.x: 65617, base: 8398976, len: 128
blockIdx.x: 65620, base: 8399360, len: 128
blockIdx.x: 65606, base: 8397568, len: 128
blockIdx.x: 65623, base: 8399744, len: 128
blockIdx.x: 65625, base: 8400000, len: 128
blockIdx.x: 65616, base: 8398848, len: 128
blockIdx.x: 65622, base: 8399616, len: 128
blockIdx.x: 65621, base: 8399488, len: 128
blockIdx.x: 65624, base: 8399872, len: 128
blockIdx.x: 65607, base: 8397696, len: 128
blockIdx.x: 65614, base: 8398592, len: 128
blockIdx.x: 65627, base: 8400256, len: 128
blockIdx.x: 65626, base: 8400128, len: 128
